TRACK_ID	PATH	TAGS
track_0000948	A/A/948	mood/theme---background
track_0000950	A/A/950	mood/theme---background
track_0000951	A/A/951	mood/theme---background
track_0002165	A/A/2165	mood/theme---film
track_0002263	A/A/2263	mood/theme---melancholic
track_0004629	A/A/4629	mood/theme---melodic
track_0004631	A/A/4631	mood/theme---melodic
track_0004632	A/A/4632	mood/theme---background
track_0004638	A/A/4638	mood/theme---children
track_0004639	A/A/4639	mood/theme---children	mood/theme---relaxing
track_0004640	A/A/4640	mood/theme---background
track_0005634	A/A/5634	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005635	A/A/5635	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005636	A/A/5636	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005637	A/A/5637	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005638	A/B/5638	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005640	A/B/5640	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005641	A/B/5641	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005642	A/B/5642	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005643	A/B/5643	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0006247	A/B/6247	mood/theme---emotional
track_0006248	A/B/6248	mood/theme---documentary
track_0006249	A/B/6249	mood/theme---documentary	mood/theme---emotional
track_0006250	A/B/6250	mood/theme---documentary	mood/theme---emotional
track_0006251	A/B/6251	mood/theme---documentary	mood/theme---emotional
track_0006252	A/B/6252	mood/theme---documentary	mood/theme---emotional
track_0006253	A/B/6253	mood/theme---documentary	mood/theme---emotional	mood/theme---relaxing
track_0006254	A/B/6254	mood/theme---documentary	mood/theme---emotional	mood/theme---relaxing
track_0006256	A/B/6256	mood/theme---documentary	mood/theme---emotional	mood/theme---relaxing
track_0006257	A/B/6257	mood/theme---documentary	mood/theme---emotional	mood/theme---relaxing
track_0006258	A/C/6258	mood/theme---documentary	mood/theme---emotional	mood/theme---relaxing
track_0006606	A/C/6606	mood/theme---melodic
track_0006607	A/C/6607	mood/theme---melodic
track_0006608	A/C/6608	mood/theme---melodic
track_0006609	A/C/6609	mood/theme---melodic
track_0006610	A/C/6610	mood/theme---melodic
track_0006611	A/C/6611	mood/theme---melodic
track_0007391	A/C/7391	mood/theme---emotional
track_0007394	A/C/7394	mood/theme---melancholic
track_0007395	A/C/7395	mood/theme---love
track_0007396	A/C/7396	mood/theme---drama
track_0007397	A/C/7397	mood/theme---adventure
track_0007400	A/C/7400	mood/theme---drama
track_0007401	A/C/7401	mood/theme---drama
track_0009592	A/C/9592	mood/theme---melodic
track_0012099	A/D/12099	mood/theme---energetic	mood/theme---heavy
track_0012100	A/D/12100	mood/theme---energetic	mood/theme---heavy
track_0012101	A/D/12101	mood/theme---energetic	mood/theme---heavy
track_0012102	A/D/12102	mood/theme---energetic	mood/theme---heavy
track_0013823	A/D/13823	mood/theme---dark
track_0013824	A/D/13824	mood/theme---dark
track_0013825	A/D/13825	mood/theme---dark
track_0013826	A/D/13826	mood/theme---dark
track_0013827	A/D/13827	mood/theme---dark
track_0014013	A/D/14013	mood/theme---relaxing
track_0014014	A/D/14014	mood/theme---relaxing
track_0014015	A/D/14015	mood/theme---relaxing
track_0014016	A/D/14016	mood/theme---relaxing
track_0014017	A/D/14017	mood/theme---relaxing
track_0014018	A/D/14018	mood/theme---relaxing
track_0014019	A/E/14019	mood/theme---relaxing
track_0014020	A/E/14020	mood/theme---relaxing
track_0014021	A/E/14021	mood/theme---relaxing
track_0014022	A/E/14022	mood/theme---relaxing
track_0014023	A/E/14023	mood/theme---relaxing
track_0014024	A/E/14024	mood/theme---relaxing
track_0014025	A/E/14025	mood/theme---relaxing
track_0014026	A/E/14026	mood/theme---relaxing
track_0014027	A/E/14027	mood/theme---relaxing
track_0014028	A/E/14028	mood/theme---relaxing
track_0015963	A/E/15963	mood/theme---calm
track_0015966	A/E/15966	mood/theme---calm
track_0015998	A/E/15998	mood/theme---action	mood/theme---adventure	mood/theme---dramatic	mood/theme---epic
track_0015999	A/E/15999	mood/theme---emotional	mood/theme---epic	mood/theme---powerful	mood/theme---upbeat
track_0016000	A/E/16000	mood/theme---dramatic	mood/theme---epic	mood/theme---powerful	mood/theme---upbeat
track_0017146	A/F/17146	mood/theme---dark
track_0017148	A/F/17148	mood/theme---calm
track_0017152	A/F/17152	mood/theme---dark
track_0017155	A/F/17155	mood/theme---calm	mood/theme---slow
