TRACK_ID	PATH	TAGS		
04KHUHlgU8Pg1MAu	A/A/04KHUHlgU8Pg1MAu	mood/theme---happy	mood/theme---fun	
0QPCyEVhNQ1LxNgH	A/A/0QPCyEVhNQ1LxNgH	mood/theme---happy		
0dDlJkK8wb32OZEt	A/A/0dDlJkK8wb32OZEt	mood/theme---happy		
0gs86tF7CLIV73wE	A/A/0gs86tF7CLIV73wE	mood/theme---happy		
0myNWzjdKWWb6eao	A/A/0myNWzjdKWWb6eao	mood/theme---happy	mood/theme---party	
1BApQ3WM9Kq6YTzu	A/A/1BApQ3WM9Kq6YTzu	mood/theme---happy	mood/theme---fun	mood/theme---upbeat
1PYQMBk8LERTncVr	A/A/1PYQMBk8LERTncVr	mood/theme---happy		
1noAExI3T8zLfKrU	A/A/1noAExI3T8zLfKrU	mood/theme---happy		
1vvsIb060YXCfIjH	A/A/1vvsIb060YXCfIjH	mood/theme---happy	mood/theme---love	
2cI901288grqGseK	A/B/2cI901288grqGseK	mood/theme---happy		
2flzC2iCHgjLWAAq	A/B/2flzC2iCHgjLWAAq	mood/theme---happy	mood/theme---energetic	
316ioPFcu3Th1QQL	A/B/316ioPFcu3Th1QQL	mood/theme---happy		
32F98qQgIfyuA3rh	A/B/32F98qQgIfyuA3rh	mood/theme---happy	mood/theme---upbeat	
3TIdOAlULKdqaSR0	A/B/3TIdOAlULKdqaSR0	mood/theme---happy		
4DoiKs7hdFsSRaPF	A/B/4DoiKs7hdFsSRaPF	mood/theme---happy	mood/theme---fun	
4yJz95ot4OFbIRNa	A/B/4yJz95ot4OFbIRNa	mood/theme---happy		
5JdHPT6dVwfNB9LA	A/B/5JdHPT6dVwfNB9LA	mood/theme---happy		
5QoozySUE57ajTO8	A/B/5QoozySUE57ajTO8	mood/theme---happy	mood/theme---love	
5WUAwlsmR0QQia9r	A/C/5WUAwlsmR0QQia9r	mood/theme---happy		
5cKGuBvokjUEbQbb	A/C/5cKGuBvokjUEbQbb	mood/theme---happy		
5eDv39ZrfYmgtj3b	A/C/5eDv39ZrfYmgtj3b	mood/theme---happy	mood/theme---love	mood/theme---slow
6oaiRHTUUScgdf5v	A/C/6oaiRHTUUScgdf5v	mood/theme---happy		
7dLa5RPtBVDIUKmR	A/C/7dLa5RPtBVDIUKmR	mood/theme---happy	mood/theme---slow	
7zLJQ1oFhvWLDdjc	A/C/7zLJQ1oFhvWLDdjc	mood/theme---happy		
8ZbnLFKb0kO3PJsX	A/C/8ZbnLFKb0kO3PJsX	mood/theme---happy	mood/theme---love	
96AfxL28bODiv3m0	A/C/96AfxL28bODiv3m0	mood/theme---happy	mood/theme---love	
96tVcFpFm1DI9Gcc	A/C/96tVcFpFm1DI9Gcc	mood/theme---happy		
